Date,Open,High,Low,Close,Adj Close,Volume
2020-02-27,46.799999,48.590000,46.040001,46.040001,44.521584,17864000
2020-02-28,45.270000,48.000000,44.779999,48.000000,46.416943,30073600
2020-03-02,47.700001,50.040001,47.240002,50.000000,48.350983,15707400
2020-03-03,49.020000,50.599998,48.360001,49.610001,47.973846,17100200
2020-03-04,50.389999,50.389999,48.570000,49.790001,48.147903,17215000
2020-03-05,49.200001,49.400002,45.950001,47.110001,45.556293,11400200
2020-03-06,45.500000,46.900002,43.660000,46.480000,44.947071,22029900
2020-03-09,43.080002,44.599998,40.680000,40.900002,39.551105,31490200
2020-03-10,43.400002,46.160000,41.250000,46.000000,44.482899,26706500
2020-03-11,43.509998,44.439999,39.009998,42.549999,41.146683,27289800
2020-03-12,36.000000,37.000000,32.000000,36.889999,35.673351,33949500
2020-03-13,42.880001,43.400002,37.169998,40.880001,39.531761,44441500
2020-03-16,34.040001,37.950001,33.650002,34.290001,33.159103,26377100
2020-03-17,34.810001,36.619999,33.619999,35.540001,34.367878,29882500
2020-03-18,32.500000,33.730000,30.110001,32.799999,31.718243,40556400
2020-03-19,31.500000,32.900002,29.260000,32.509998,31.437807,52332700
2020-03-20,33.950001,35.900002,31.230000,32.439999,31.370115,33292800
2020-03-23,33.070000,33.169998,29.700001,30.450001,29.445749,16626500
2020-03-24,33.430000,36.939999,33.349998,36.310001,35.112480,26551000
2020-03-25,35.799999,39.799999,35.799999,38.790001,37.510693,21315800
2020-03-26,38.900002,39.520000,36.360001,38.639999,37.674557,24780200
2020-03-27,36.660000,37.970001,36.200001,36.910000,35.987782,18605800
2020-03-30,36.750000,38.060001,36.299999,37.000000,36.075535,16573600
2020-03-31,35.889999,37.160000,35.029999,35.900002,35.003021,17903100
2020-04-01,34.509998,34.919998,33.160000,34.650002,33.784256,13314000
2020-04-02,34.630001,36.970001,34.400002,36.799999,35.880527,15059100
2020-04-03,36.410000,36.580002,35.130001,35.849998,34.954266,19094900
2020-04-06,38.669998,39.810001,36.660000,37.209999,36.280285,13549100
2020-04-07,40.419998,41.200001,38.090000,38.500000,37.538055,24165600
2020-04-08,38.299999,40.040001,37.880001,39.310001,38.327816,8148300
2020-04-09,39.500000,39.860001,38.049999,39.009998,38.035313,15281300
